developerCountry,countryCode,userRatingCount,primaryGenreName,hasTermsOfServiceLinkRating,isCorporateEmailScore,appAge,averageUserRating,appDescriptionBrandSafetyRating,coppaRisk,minDownloads,maxDownloads,deviceType_GLOBAL,deviceType_connected-tv/ott,deviceType_smartphone,deviceType_tablet,deviceType_undetermined,isCorporateEmail_missing
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,7,Games,-1,0.0,75.2,5.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,164,Tools,-1,0.0,69.66666667,3.0,1,False,10000.0,50000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,-1,-1.0,57.2,0.0,3,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,112,Entertainment,1,0.0,60.36666667,4.0,3,False,10000.0,50000.0,True,False,False,False,False,0
SINGAPORE,GLOBAL,0,Beauty,-1,0.0,80.1,0.0,1,False,100.0,500.0,True,False,False,False,False,0
UNITED STATES,GLOBAL,0,Business,-1,99.0,91.23333333,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,2,Health & Fitness,-1,-1.0,135.6,1.0,1,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,-1,0.0,25.8,0.0,1,True,5.0,10.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GT,21,Lifestyle,-1,0.0,3.633333333,3.0,1,False,10000.0,50000.0,True,False,False,False,False,0
REPUBLIC OF KOREA,GLOBAL,111,Entertainment,-1,99.0,60.03333333,3.0,1,True,10000.0,50000.0,True,False,False,False,False,0
MONGOLIA,RU,662,Games,0,99.0,60.63333333,3.0,1,False,100000.0,500000.0,False,False,False,True,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,147,Education,-1,0.0,41.96666667,4.0,1,False,,,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,-1,0.0,54.5,0.0,1,False,50.0,100.0,True,False,False,False,False,0
PAKISTAN,GLOBAL,30,Tools,-1,0.0,83.66666667,4.0,1,False,5000.0,10000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,9,Games,-1,0.0,12.53333333,4.0,1,False,100.0,500.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,-1,-1.0,57.23333333,0.0,1,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,-1,0.0,27.4,0.0,1,False,100.0,500.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,-1,-1.0,120.7666667,0.0,1,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Events,-1,0.0,89.63333333,0.0,2,False,5.0,10.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,-1,0.0,19.56666667,0.0,1,False,10.0,50.0,True,False,False,False,False,0
VIET NAM,EMEA,2653,Games,1,0.0,5.9,4.0,1,False,100000.0,500000.0,False,False,True,False,False,0
UNITED STATES,GLOBAL,56,Education,0,-1.0,95.06666667,4.0,1,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,11,Personalization,-1,0.0,18.36666667,1.0,1,False,10000.0,50000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,14,Games,-1,0.0,133.2333333,4.0,1,False,1000.0,5000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,31,Games,-1,-1.0,136.4,4.0,1,True,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,News & Magazines,-1,0.0,53.23333333,0.0,1,False,50.0,100.0,True,False,False,False,False,0
PAKISTAN,GLOBAL,138,Entertainment,-1,0.0,99.43333333,4.0,1,False,10000.0,50000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,20,Education,1,99.0,17.63333333,5.0,1,True,100.0,500.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,1,0.0,41.4,0.0,1,False,,,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Entertainment,-1,99.0,74.36666667,0.0,1,False,50.0,100.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,7,Personalization,-1,0.0,25.3,5.0,1,False,50.0,100.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,10,Lifestyle,0,99.0,109.3333333,2.0,1,False,500.0,1000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,-1,0.0,67.5,0.0,2,False,10.0,50.0,True,False,False,False,False,0
OMAN,GLOBAL,7,News & Magazines,1,0.0,58.33333333,4.0,1,False,1000.0,5000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,94,Games,-1,0.0,38.23333333,2.0,1,False,10000.0,50000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,24,Music & Audio,-1,0.0,44.63333333,4.0,1,False,500.0,1000.0,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Games,1,99.0,15.3,0.0,1,False,500.0,1000.0,True,False,False,False,False,0
FRANCE,HR,7015,Games,0,99.0,59.83333333,4.0,1,False,1000000.0,5000000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Health & Fitness,0,99.0,39.6,4.0,3,False,1000.0,5000.0,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Personalization,-1,0.0,43.7,0.0,1,False,100.0,500.0,True,False,False,False,False,0
INDIA,GLOBAL,931,Games,1,0.0,46.53333333,4.0,1,False,,,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,-1,0.0,20.36666667,0.0,1,False,1.0,5.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,RU,9,Entertainment,0,-1.0,99.53333333,4.0,1,False,,,False,False,True,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,17,Education,0,99.0,83.86666667,4.0,2,False,,,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,231,Business,1,99.0,68.5,2.0,1,False,10000.0,50000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,News & Magazines,1,99.0,62.86666667,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Utilities,-1,-1.0,86.66666667,0.0,1,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,-1,-1.0,30.66666667,0.0,1,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,-1,0.0,53.03333333,0.0,1,False,1.0,5.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,2283,Lifestyle,-1,-1.0,29.76666667,3.0,3,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Food & Drink,-1,0.0,16.5,0.0,1,False,1.0,5.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Maps & Navigation,-1,0.0,71.5,0.0,1,False,100.0,500.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Health & Fitness,-1,-1.0,4.1,0.0,1,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Business,-1,0.0,50.5,5.0,1,False,,,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,-1,99.0,35.33333333,0.0,1,False,100.0,500.0,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Communication,-1,99.0,46.86666667,0.0,1,False,100.0,500.0,True,False,False,False,False,0
CHINA,APAC,1510,Games,1,0.0,18.4,3.0,1,True,100000.0,500000.0,False,False,True,False,False,0
NETHERLANDS,GLOBAL,0,Travel & Local,1,99.0,121.3666667,0.0,1,False,100.0,500.0,True,False,False,False,False,0
INDIA,GLOBAL,0,Business,0,-1.0,78.26666667,0.0,1,False,,,True,False,False,False,False,1
CHINA,ES,1016,Entertainment,1,-1.0,53.76666667,4.0,2,False,,,False,False,True,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,-1,99.0,56.73333333,0.0,1,False,10.0,50.0,True,False,False,False,False,0
FRANCE,GLOBAL,1122,Games,0,99.0,25.96666667,4.0,1,False,50000.0,100000.0,True,False,False,False,False,0
RUSSIAN FEDERATION,GLOBAL,0,Games,-1,0.0,52.83333333,0.0,1,False,100.0,500.0,True,False,False,False,False,0
INDONESIA,GLOBAL,223,Health & Fitness,-1,99.0,30.2,4.0,1,False,1000.0,5000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,DE,0,News & Magazines,0,99.0,58.23333333,0.0,1,False,1000.0,5000.0,False,True,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,-1,99.0,52.86666667,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ITALY,GLOBAL,0,Education,-1,0.0,47.1,0.0,1,True,,,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,12,Productivity,-1,0.0,53.43333333,5.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,-1,99.0,21.1,0.0,1,False,,,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,LATAM,6135,Beauty,1,0.0,72.93333333,4.0,1,False,1000000.0,5000000.0,True,False,False,False,False,0
CHINA,GLOBAL,0,Games,-1,0.0,29.86666667,0.0,2,False,100.0,500.0,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,14166,Games,0,99.0,41.2,4.0,1,False,100000.0,500000.0,False,False,False,True,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,13,Shopping,-1,99.0,75.4,3.0,1,False,,,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,LATAM,26,Tools,-1,0.0,3.433333333,4.0,1,False,10000.0,50000.0,False,False,True,False,False,0
PAKISTAN,ID,933,Games,1,0.0,14.8,4.0,1,True,100000.0,500000.0,False,False,True,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Food & Drink,0,99.0,8.566666667,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Utilities,-1,-1.0,52.86666667,5.0,1,False,,,True,False,False,False,False,1
UZBEKISTAN,GLOBAL,1077,Lifestyle,-1,0.0,29.2,4.0,1,False,50000.0,100000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Reference,-1,-1.0,69.66666667,1.0,1,False,,,True,False,False,False,False,1
UNITED KINGDOM,GLOBAL,0,Business,-1,99.0,27.9,0.0,1,False,,,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Games,-1,99.0,58.13333333,0.0,1,False,50.0,100.0,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,-1,0.0,66.36666667,0.0,2,False,1.0,5.0,True,False,False,False,False,0
CANADA,GLOBAL,0,Tools,-1,0.0,16.4,0.0,1,False,10.0,50.0,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,2,Sports,-1,99.0,59.7,1.0,1,False,,,True,False,False,False,False,0
NEW ZEALAND,ES,36520,Games,1,0.0,61.3,4.0,1,True,1000000.0,5000000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,-1,0.0,71.46666667,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,-1,0.0,33.4,0.0,1,True,5.0,10.0,True,False,False,False,False,0
UNITED STATES,GLOBAL,90,Business,1,99.0,102.3333333,4.0,1,False,10000.0,50000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Business,-1,99.0,66.5,0.0,3,False,,,True,False,False,False,False,0
SRI LANKA,GLOBAL,0,Tools,-1,99.0,52.2,0.0,1,False,50.0,100.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,69,Finance,-1,99.0,38.9,4.0,1,False,1000.0,5000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,20,Games,-1,0.0,110.4333333,3.0,1,True,1000.0,5000.0,True,False,False,False,False,0
CHINA,GLOBAL,10,Photography,-1,0.0,148.2666667,3.0,1,False,500.0,1000.0,True,False,False,False,False,0
AUSTRALIA,GLOBAL,0,Food & Drink,-1,99.0,36.26666667,0.0,1,False,,,True,False,False,False,False,0
REPUBLIC OF KOREA,GLOBAL,0,Books & Reference,1,99.0,80.53333333,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,-1,99.0,59.93333333,0.0,1,True,10000.0,50000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Productivity,-1,99.0,46.76666667,0.0,1,False,0.0,1.0,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Productivity,1,99.0,41.9,0.0,1,False,5.0,10.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Art & Design,-1,0.0,41.03333333,0.0,1,False,50.0,100.0,True,False,False,False,False,0
COTE D'IVOIRE,GLOBAL,98,Maps & Navigation,-1,0.0,73.16666667,4.0,1,False,10000.0,50000.0,True,False,False,False,False,0
UNITED KINGDOM,ZM,125230,Games,0,99.0,55.86666667,3.0,3,False,10000000.0,50000000.0,True,False,False,False,False,0
UNITED STATES,GLOBAL,2129,Business,0,99.0,78.4,4.0,1,False,,,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,7,Entertainment,-1,0.0,28.0,5.0,1,False,100.0,500.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Productivity,0,99.0,78.13333333,0.0,1,False,,,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Music & Audio,0,0.0,39.53333333,0.0,2,False,500.0,1000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Books & Reference,-1,0.0,48.56666667,0.0,1,False,100.0,500.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,4,Utilities,-1,-1.0,37.76666667,4.0,3,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Productivity,-1,99.0,17.43333333,0.0,1,False,1.0,5.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,8,Tools,-1,0.0,42.83333333,4.0,1,False,500.0,1000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Books & Reference,-1,0.0,13.9,0.0,1,False,0.0,1.0,True,False,False,False,False,0
INDIA,GLOBAL,0,Finance,-1,0.0,72.6,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1289,Games,-1,0.0,70.2,3.0,2,False,500000.0,1000000.0,False,False,True,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,130,Entertainment,-1,0.0,65.93333333,4.0,1,False,5000.0,10000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,23,Comics,-1,0.0,123.0666667,4.0,1,False,500.0,1000.0,True,False,False,False,False,0
RUSSIAN FEDERATION,GLOBAL,0,Business,-1,99.0,24.23333333,0.0,1,False,10.0,50.0,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Education,-1,0.0,33.33333333,0.0,1,False,5.0,10.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,ID,24256,Games,1,99.0,3.666666667,4.0,2,False,1000000.0,5000000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Music & Audio,-1,0.0,79.46666667,0.0,2,False,100.0,500.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,11883,Education,1,0.0,67.6,4.0,1,False,1000000.0,5000000.0,False,False,False,True,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,1,0.0,21.73333333,0.0,1,True,5.0,10.0,False,False,True,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Music & Audio,-1,0.0,22.06666667,5.0,2,False,10.0,50.0,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,-1,99.0,74.96666667,0.0,3,False,,,True,False,False,False,False,0
IRELAND,PH,102037,Entertainment,1,99.0,104.4,4.0,3,True,,,False,False,True,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,BG,83,Games,0,99.0,1.833333333,3.0,1,False,500000.0,1000000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Utilities,-1,-1.0,26.7,5.0,1,False,,,True,False,False,False,False,1
KAZAKHSTAN,KG,281,Games,1,99.0,9.233333333,4.0,2,False,100000.0,500000.0,False,False,True,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,-1,0.0,84.96666667,0.0,1,False,10.0,50.0,True,False,False,False,False,0
UNITED STATES,GLOBAL,25,Medical,-1,99.0,26.66666667,3.0,2,False,10000.0,50000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Music & Audio,-1,0.0,78.6,0.0,2,False,5.0,10.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,-1,0.0,32.4,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,0,99.0,65.4,0.0,1,False,100.0,500.0,True,False,False,False,False,0
FRANCE,GLOBAL,95,Tools,0,99.0,152.7666667,4.0,1,False,10000.0,50000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Stickers,-1,-1.0,64.5,0.0,2,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,1,0.0,79.36666667,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Personalization,-1,0.0,55.46666667,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,-1,-1.0,57.1,0.0,1,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1843,Tools,0,0.0,8.0,4.0,2,False,100000.0,500000.0,False,True,False,False,False,0
HONG KONG,IT,5046,Games,1,0.0,70.9,3.0,1,True,500000.0,1000000.0,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,1,99.0,53.4,0.0,1,False,5.0,10.0,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Games,-1,0.0,57.8,0.0,1,False,100.0,500.0,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,2,Medical,-1,99.0,77.56666667,5.0,3,False,,,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,UG,32209,Games,-1,0.0,70.53333333,4.0,3,False,1000000.0,5000000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,437,Music & Audio,1,0.0,34.2,4.0,1,False,10000.0,50000.0,False,False,False,True,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,1,99.0,96.3,0.0,1,False,10.0,50.0,True,False,False,False,False,0
NETHERLANDS,GLOBAL,0,Lifestyle,-1,99.0,92.76666667,0.0,1,False,100.0,500.0,True,False,False,False,False,0
CHILE,GLOBAL,0,Music & Audio,-1,0.0,74.46666667,0.0,1,False,100.0,500.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Medical,1,99.0,105.2666667,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,11,Maps & Navigation,-1,0.0,169.2333333,3.0,1,False,1000.0,5000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,NL,928,Games,0,0.0,13.9,4.0,2,False,500000.0,1000000.0,False,False,True,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Tools,-1,0.0,94.4,5.0,1,False,50.0,100.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,10,Food & Drink,-1,0.0,38.36666667,3.0,1,False,1000.0,5000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,-1,0.0,29.23333333,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Utilities,-1,-1.0,8.866666667,0.0,3,False,,,True,False,False,False,False,1
CHINA,RU,149985,Games,0,99.0,59.23333333,4.0,2,True,10000000.0,50000000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Food & Drink,-1,99.0,67.4,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,14,Education,-1,0.0,29.8,3.0,1,False,1000.0,5000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,119,Education,-1,0.0,50.23333333,4.0,1,True,10000.0,50000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,68,Games,-1,-1.0,44.86666667,4.0,1,False,,,True,False,False,False,False,1
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,-1,99.0,93.16666667,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,21,Finance,-1,99.0,76.73333333,4.0,1,False,5000.0,10000.0,True,False,False,False,False,0
BAHRAIN,BD,2967,Games,0,0.0,22.26666667,4.0,1,False,1000000.0,5000000.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Reference,-1,-1.0,71.26666667,0.0,1,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Shopping,-1,-1.0,10.2,0.0,1,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Utilities,-1,99.0,8.766666667,0.0,1,False,,,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,2,Finance,-1,99.0,66.7,5.0,1,False,,,True,False,False,False,False,0
JAPAN,GLOBAL,0,Tools,-1,0.0,80.93333333,0.0,1,False,1.0,10.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,-1,-1.0,45.56666667,0.0,1,False,,,True,False,False,False,False,1
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Health & Fitness,-1,99.0,1.266666667,0.0,2,False,,,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Business,1,99.0,73.6,0.0,3,False,,,True,False,False,False,False,0
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Personalization,-1,0.0,16.9,0.0,1,False,100.0,500.0,False,False,True,False,False,0
INDIA,GLOBAL,0,Health & Fitness,-1,99.0,23.53333333,0.0,1,False,10.0,50.0,True,False,False,False,False,0
FRANCE,SE,25134,Games,0,99.0,35.76666667,3.0,2,False,10000000.0,50000000.0,False,False,True,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,52,Lifestyle,-1,99.0,45.6,5.0,1,False,,,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,APAC,738,Games,0,99.0,15.0,4.0,1,True,50000.0,100000.0,False,False,True,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,-1,0.0,57.53333333,0.0,1,False,10.0,50.0,True,False,False,False,False,0
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Food & Drink,-1,99.0,59.8,0.0,1,False,10.0,50.0,True,False,False,False,False,0
