developerCountry,countryCode,userRatingCount,primaryGenreName,downloads,deviceType,hasPrivacyLink,hasTermsOfServiceLink,hasTermsOfServiceLinkRating,isCorporateEmailScore,adSpent,appAge,averageUserRating,appContentBrandSafetyRating,appDescriptionBrandSafetyRating,mfaRating,coppaRisk
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,20,Education,100 - 500,GLOBAL,TRUE,FALSE,high,99,,17.63333333,5,,low,low,TRUE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,,GLOBAL,TRUE,FALSE,high,0,,41.4,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Entertainment,50 - 100,GLOBAL,TRUE,,,99,,74.36666667,,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,7,Personalization,50 - 100,GLOBAL,TRUE,,,0,,25.3,5,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,10,Lifestyle,500 - 1000,GLOBAL,TRUE,TRUE,low,99,,109.3333333,2,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,Oct-50,GLOBAL,TRUE,,,0,,67.5,,,medium,low,FALSE
OMAN,GLOBAL,7,News & Magazines,1000 - 5000,GLOBAL,TRUE,FALSE,high,0,,58.33333333,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,94,Games,10000 - 50000,GLOBAL,TRUE,,,0,,38.23333333,2,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,24,Music & Audio,500 - 1000,GLOBAL,,,,0,,44.63333333,4,,low,low,FALSE
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Games,500 - 1000,GLOBAL,TRUE,FALSE,high,99,,15.3,,,low,low,FALSE
FRANCE,HR,7015,Games,1000000 - 5000000,GLOBAL,TRUE,TRUE,low,99,3.189791798,59.83333333,4,medium,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Health & Fitness,1000 - 5000,GLOBAL,TRUE,TRUE,low,99,,39.6,4,,high,low,FALSE
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Personalization,100 - 500,GLOBAL,TRUE,,,0,,43.7,,,low,low,FALSE
INDIA,GLOBAL,931,Games,,GLOBAL,TRUE,FALSE,high,0,,46.53333333,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,01-May,GLOBAL,TRUE,,,0,,20.36666667,,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,RU,9,Entertainment,,smartphone,TRUE,TRUE,low,,25.00067438,99.53333333,4,low,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,17,Education,,GLOBAL,TRUE,TRUE,low,99,,83.86666667,4,,medium,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,231,Business,10000 - 50000,GLOBAL,TRUE,FALSE,high,99,,68.5,2,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,News & Magazines,Oct-50,GLOBAL,FALSE,FALSE,high,99,,62.86666667,,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Utilities,,GLOBAL,,,,,,86.66666667,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,,0,Games,,smartphone,TRUE,,,0,18.0962512,7.233333333,0,,high,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,,GLOBAL,TRUE,,,,,30.66666667,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,01-May,GLOBAL,,,,0,,53.03333333,,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,2283,Lifestyle,,GLOBAL,TRUE,,,,,29.76666667,3,,high,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Food & Drink,01-May,GLOBAL,TRUE,,,0,,16.5,,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Maps & Navigation,100 - 500,GLOBAL,TRUE,,,0,,71.5,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Health & Fitness,,GLOBAL,TRUE,,,,,4.1,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Business,,GLOBAL,TRUE,,,0,,50.5,5,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,100 - 500,GLOBAL,TRUE,,,99,,35.33333333,,,low,low,FALSE
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Communication,100 - 500,GLOBAL,TRUE,,,99,,46.86666667,0,,low,low,FALSE
CHINA,APAC,1510,Games,100000 - 500000,smartphone,TRUE,FALSE,high,0,2.850855014,18.4,3,,low,low,TRUE
NETHERLANDS,GLOBAL,0,Travel & Local,100 - 500,GLOBAL,TRUE,FALSE,high,99,,121.3666667,3,,low,low,FALSE
INDIA,GLOBAL,0,Business,,GLOBAL,TRUE,TRUE,low,,,78.26666667,0,,low,low,FALSE
CHINA,ES,1016,Entertainment,,smartphone,TRUE,FALSE,high,,0.787945332,53.76666667,4,,medium,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,Oct-50,GLOBAL,TRUE,,,99,,56.73333333,,,low,low,FALSE
FRANCE,GLOBAL,1122,Games,50000 - 100000,GLOBAL,TRUE,TRUE,low,99,93.79861253,25.96666667,4,,low,low,FALSE
RUSSIAN FEDERATION,GLOBAL,0,Games,100 - 500,GLOBAL,,,,0,,52.83333333,,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,,448,Games,,GLOBAL,TRUE,FALSE,high,,0.405468354,45,2,,medium,low,FALSE
INDONESIA,GLOBAL,223,Health & Fitness,1000 - 5000,GLOBAL,TRUE,,,99,,30.2,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,DE,0,News & Magazines,1000 - 5000,connected-tv/ott,TRUE,TRUE,low,99,4.324914558,58.23333333,,medium,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Shopping,Oct-50,GLOBAL,TRUE,,,99,,52.86666667,,,low,low,FALSE
ITALY,GLOBAL,0,Education,,GLOBAL,TRUE,,,0,,47.1,0,,low,low,TRUE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,12,Productivity,Oct-50,GLOBAL,,,,0,,53.43333333,5,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,,GLOBAL,TRUE,,,99,,21.1,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,LATAM,6135,Beauty,1000000 - 5000000,GLOBAL,TRUE,FALSE,high,0,2.509893593,72.93333333,4,medium,low,low,FALSE
CHINA,GLOBAL,0,Games,100 - 500,GLOBAL,TRUE,,,0,,29.86666667,,,medium,low,FALSE
CANNOT IDENTIFY COUNTRY,GLOBAL,14166,Games,100000 - 500000,tablet,TRUE,TRUE,low,99,0.088407158,41.2,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,13,Shopping,,GLOBAL,TRUE,,,99,,75.4,3,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,LATAM,26,Tools,10000 - 50000,smartphone,TRUE,,,0,475.3723271,3.433333333,4,,low,low,FALSE
PAKISTAN,ID,933,Games,100000 - 500000,smartphone,TRUE,FALSE,high,0,4.38504738,14.8,4,,low,low,TRUE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Food & Drink,Oct-50,GLOBAL,TRUE,TRUE,low,99,,8.566666667,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Utilities,,GLOBAL,TRUE,,,,,52.86666667,5,,low,low,FALSE
UZBEKISTAN,GLOBAL,1077,Lifestyle,50000 - 100000,GLOBAL,TRUE,,,0,,29.2,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Reference,,GLOBAL,TRUE,,,,,69.66666667,1,,low,low,FALSE
UNITED KINGDOM,GLOBAL,0,Business,,GLOBAL,TRUE,,,99,,27.9,0,,low,low,FALSE
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Games,50 - 100,GLOBAL,TRUE,,,99,,58.13333333,,,low,low,FALSE
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,01-May,GLOBAL,TRUE,,,0,,66.36666667,,,medium,low,FALSE
CANADA,GLOBAL,0,Tools,Oct-50,GLOBAL,TRUE,,,0,,16.4,0,,low,low,FALSE
CANNOT IDENTIFY COUNTRY,GLOBAL,2,Sports,,GLOBAL,TRUE,,,99,,59.7,1,,low,low,FALSE
NEW ZEALAND,ES,36520,Games,1000000 - 5000000,GLOBAL,TRUE,FALSE,high,0,0.06892806,61.3,4,low,low,low,TRUE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,Oct-50,GLOBAL,TRUE,,,0,,71.46666667,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,05-Oct,GLOBAL,TRUE,,,0,,33.4,,,low,low,TRUE
UNITED STATES,GLOBAL,90,Business,10000 - 50000,GLOBAL,TRUE,FALSE,high,99,,102.3333333,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Business,,GLOBAL,TRUE,,,99,,66.5,0,,high,low,FALSE
SRI LANKA,GLOBAL,0,Tools,50 - 100,GLOBAL,TRUE,,,99,,52.2,,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,69,Finance,1000 - 5000,GLOBAL,TRUE,,,99,,38.9,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,20,Games,1000 - 5000,GLOBAL,,,,0,,110.4333333,3,,low,low,TRUE
CHINA,GLOBAL,10,Photography,500 - 1000,GLOBAL,,,,0,,148.2666667,3,,low,low,FALSE
AUSTRALIA,GLOBAL,0,Food & Drink,,GLOBAL,TRUE,,,99,,36.26666667,0,,low,low,FALSE
REPUBLIC OF KOREA,GLOBAL,0,Books & Reference,Oct-50,GLOBAL,TRUE,FALSE,high,99,,80.53333333,5,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Education,10000 - 50000,GLOBAL,TRUE,,,99,,59.93333333,3,,low,low,TRUE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Productivity,0 - 1,GLOBAL,,,,99,,46.76666667,,,low,low,FALSE
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Productivity,05-Oct,GLOBAL,TRUE,FALSE,high,99,,41.9,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Art & Design,50 - 100,GLOBAL,TRUE,,,0,,41.03333333,0,,low,low,FALSE
COTE D'IVOIRE,GLOBAL,98,Maps & Navigation,10000 - 50000,GLOBAL,TRUE,,,0,,73.16666667,4,,low,low,FALSE
UNITED KINGDOM,ZM,125230,Games,10000000 - 50000000,GLOBAL,TRUE,TRUE,low,99,0.145942881,55.86666667,3,medium,high,low,FALSE
UNITED STATES,GLOBAL,2129,Business,,GLOBAL,TRUE,TRUE,low,99,,78.4,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,7,Entertainment,100 - 500,GLOBAL,TRUE,,,0,,28,5,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Productivity,,GLOBAL,TRUE,TRUE,low,99,,78.13333333,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Music & Audio,500 - 1000,GLOBAL,TRUE,TRUE,low,0,,39.53333333,,,medium,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Books & Reference,100 - 500,GLOBAL,TRUE,,,0,,48.56666667,,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,4,Utilities,,GLOBAL,TRUE,,,,,37.76666667,4,,high,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Productivity,01-May,GLOBAL,TRUE,,,99,,17.43333333,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,8,Tools,500 - 1000,GLOBAL,TRUE,,,0,,42.83333333,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Books & Reference,0 - 1,GLOBAL,TRUE,,,0,,13.9,,,low,low,FALSE
INDIA,GLOBAL,0,Finance,Oct-50,GLOBAL,TRUE,,,0,,72.6,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1289,Games,500000 - 1000000,smartphone,TRUE,,,0,,70.2,3,medium,medium,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,130,Entertainment,5000 - 10000,GLOBAL,TRUE,,,0,,65.93333333,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,23,Comics,500 - 1000,GLOBAL,,,,0,,123.0666667,4,,low,low,FALSE
RUSSIAN FEDERATION,GLOBAL,0,Business,Oct-50,GLOBAL,TRUE,,,99,,24.23333333,,,low,low,FALSE
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Education,05-Oct,GLOBAL,TRUE,,,0,,33.33333333,,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,ID,24256,Games,1000000 - 5000000,GLOBAL,TRUE,FALSE,high,99,13014.06734,3.666666667,4,,medium,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Music & Audio,100 - 500,GLOBAL,TRUE,,,0,,79.46666667,0,,medium,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,11883,Education,1000000 - 5000000,tablet,TRUE,FALSE,high,0,0.208412715,67.6,4,low,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,05-Oct,smartphone,TRUE,FALSE,high,0,,21.73333333,,,low,low,TRUE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Music & Audio,Oct-50,GLOBAL,TRUE,,,0,,22.06666667,5,,medium,low,FALSE
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,,GLOBAL,TRUE,,,99,,74.96666667,0,,high,low,FALSE
IRELAND,PH,102037,Entertainment,,smartphone,TRUE,FALSE,high,99,0.432122434,104.4,4,medium,high,low,TRUE
ADDRESS NOT LISTED IN PLAYSTORE,BG,83,Games,500000 - 1000000,GLOBAL,TRUE,TRUE,low,99,0.896200617,1.833333333,3,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Utilities,,GLOBAL,TRUE,,,,,26.7,5,,low,low,FALSE
KAZAKHSTAN,KG,281,Games,100000 - 500000,smartphone,TRUE,FALSE,high,99,26.34567021,9.233333333,4,,medium,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,Oct-50,GLOBAL,TRUE,,,0,,84.96666667,0,,low,low,FALSE
UNITED STATES,GLOBAL,25,Medical,10000 - 50000,GLOBAL,TRUE,,,99,,26.66666667,3,,medium,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Music & Audio,05-Oct,GLOBAL,TRUE,,,0,,78.6,0,,medium,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,Oct-50,GLOBAL,TRUE,,,0,,32.4,,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,100 - 500,GLOBAL,TRUE,TRUE,low,99,,65.4,,,low,low,FALSE
FRANCE,GLOBAL,95,Tools,10000 - 50000,GLOBAL,TRUE,TRUE,low,99,,152.7666667,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Stickers,,GLOBAL,TRUE,,,,,64.5,0,,medium,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Social,Oct-50,GLOBAL,TRUE,FALSE,high,0,,79.36666667,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Personalization,Oct-50,GLOBAL,TRUE,,,0,,55.46666667,,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Games,,GLOBAL,,,,,,57.1,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1843,Tools,100000 - 500000,connected-tv/ott,TRUE,TRUE,low,0,1.063364304,8,4,,medium,low,FALSE
HONG KONG,IT,5046,Games,500000 - 1000000,GLOBAL,TRUE,FALSE,high,0,3.712007353,70.9,3,medium,low,low,TRUE
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,05-Oct,GLOBAL,TRUE,FALSE,high,99,,53.4,,,low,low,FALSE
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Games,100 - 500,GLOBAL,TRUE,,,0,,57.8,,,low,low,FALSE
CANNOT IDENTIFY COUNTRY,GLOBAL,2,Medical,,GLOBAL,TRUE,,,99,,77.56666667,5,,high,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,UG,32209,Games,1000000 - 5000000,GLOBAL,TRUE,,,0,0.901725489,70.53333333,4,medium,high,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,437,Music & Audio,10000 - 50000,tablet,TRUE,FALSE,high,0,,34.2,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,Oct-50,GLOBAL,TRUE,FALSE,high,99,,96.3,0,,low,low,FALSE
NETHERLANDS,GLOBAL,0,Lifestyle,100 - 500,GLOBAL,TRUE,,,99,,92.76666667,0,,low,low,FALSE
CHILE,GLOBAL,0,Music & Audio,100 - 500,GLOBAL,TRUE,,,0,,74.46666667,5,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Medical,Oct-50,GLOBAL,TRUE,FALSE,high,99,,105.2666667,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,11,Maps & Navigation,1000 - 5000,GLOBAL,,,,0,,169.2333333,3,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,NL,928,Games,500000 - 1000000,smartphone,TRUE,TRUE,low,0,4.394759165,13.9,4,,medium,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,6,Tools,50 - 100,GLOBAL,,,,0,,94.4,5,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,10,Food & Drink,1000 - 5000,GLOBAL,TRUE,,,0,,38.36666667,3,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Tools,Oct-50,GLOBAL,TRUE,,,0,,29.23333333,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Utilities,,GLOBAL,TRUE,,,,,8.866666667,0,,high,low,FALSE
CHINA,RU,149985,Games,10000000 - 50000000,GLOBAL,TRUE,TRUE,low,99,20.98472306,59.23333333,4,high,medium,low,TRUE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Food & Drink,Oct-50,GLOBAL,TRUE,,,99,,67.4,5,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,14,Education,1000 - 5000,GLOBAL,TRUE,,,0,,29.8,3,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,119,Education,10000 - 50000,GLOBAL,TRUE,,,0,,50.23333333,4,,low,low,TRUE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,68,Games,,GLOBAL,TRUE,,,,,44.86666667,4,,low,low,FALSE
CANNOT IDENTIFY COUNTRY,GLOBAL,0,Entertainment,Oct-50,GLOBAL,TRUE,,,99,,93.16666667,5,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,21,Finance,5000 - 10000,GLOBAL,TRUE,,,99,,76.73333333,4,,low,low,FALSE
BAHRAIN,BD,2967,Games,1000000 - 5000000,GLOBAL,TRUE,TRUE,low,0,0.271097239,22.26666667,4,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Reference,,GLOBAL,TRUE,,,,,71.26666667,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,1,Shopping,,GLOBAL,TRUE,,,,,10.2,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Utilities,,GLOBAL,TRUE,,,99,,8.766666667,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,2,Finance,,GLOBAL,TRUE,,,99,,66.7,5,,low,low,FALSE
JAPAN,GLOBAL,0,Tools,01-Jan,GLOBAL,TRUE,,,0,,80.93333333,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Lifestyle,,GLOBAL,TRUE,,,,,45.56666667,0,,low,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Health & Fitness,,GLOBAL,TRUE,,,99,,1.266666667,0,,medium,low,FALSE
ADDRESS NOT LISTED IN PLAYSTORE,GLOBAL,0,Business,,GLOBAL,TRUE,FALSE,high,99,,73.6,0,,high,low,FALSE
